"UniqueId","FullName","University","JoinYear","Rank","SubField","Bachelors","Masters","Doctorate","PostDoc","Gender","PhotoURL","Sources","Last_Updated_By","Last_Updated"
"1","Chitta Baral","Arizona State University","1999","Associate","Natural Language & Speech","Indian Institute of Technology - Kanpur - India","University of Maryland - College Park - USA","University of Maryland - College Park - USA","","Male","http://cidse.engineering.asu.edu/wp-content/uploads/2011/11/chittabaral.jpg","http://cidse.engineering.asu.edu/directory/chitta-baral/","","2018-11-30"
"2","Kasim Candan","Arizona State University","1997","Full","Databases","Bilkent University - Turkey","","University of Maryland - College Park - USA","","Male","http://cidse.engineering.asu.edu/wp-content/uploads/2011/12/Candan_Selchuk_5512b.jpg","http://cidse.engineering.asu.edu/directory/candan-k-selcuk/","4587","2016-10-21"
"3","Charles Colbourn","Arizona State University","2001","Full","Networks & Communications","University of Toronto - Canada","University of Waterloo - Ontario - Canada","University of Toronto - Canada","","Male","http://cidse.engineering.asu.edu/wp-content/uploads/2011/11/Colbourn_Charles_8438b1.jpg","http://cidse.engineering.asu.edu/directory/charles-colbourn/","2","2015-10-08"
"4","James Collofello","Arizona State University","1979","Full","Software Engineering","Northern Illinois University - USA","Northern Illinois University - USA","Northwestern University - USA","","Male","http://cidse.engineering.asu.edu/wp-content/uploads/2011/12/jamescollofello.jpg","http://cidse.engineering.asu.edu/directory/collofello-james/","2","2015-10-08"
"5","Sandeep Gupta","Arizona State University","2001","Full","Distributed & Parallel Computing","","","Ohio State University - USA","","Male","http://cidse.engineering.asu.edu/wp-content/uploads/2011/12/sandeepgupta-featured.jpg","http://cidse.engineering.asu.edu/directory/gupta-sandeep/","2","2015-10-08"
"6","Subbarao Kambhampati","Arizona State University","1991","Full","Artificial Intelligence","Indian Institute of Technology - Madras - India","University of Maryland - College Park - USA","University of Maryland - College Park - USA","","Male","http://cidse.engineering.asu.edu/wp-content/uploads/2011/11/subbaraokambhampati.jpg","http://rakaposhi.eas.asu.edu/rao.html","2","2015-10-08"
"7","Huan Liu","Arizona State University","2000","Full","Computer Vision","Shanghai Jiaotong University - China","University of Southern California - USA","University of Southern California - USA","","Male","http://cidse.engineering.asu.edu/wp-content/uploads/2011/11/huanliu.jpg","http://cidse.engineering.asu.edu/directory/huan-liu/","7171","2017-04-12"
"8","Arunabha Sen","Arizona State University","1987","Full","Networks & Communications","","University of Calgary - Canada","University of South Carolina - USA","","Decline to Report","http://cidse.engineering.asu.edu/wp-content/uploads/2011/12/Sen-Arun.jpg","http://cidse.engineering.asu.edu/directory/sen-arunabha/","","2015-10-08"
"9","Wei-Tek Tsai","Arizona State University","2000","Full","Distributed & Parallel Computing","","","University of California - Berkeley - USA","","Male","https://cidse.engineering.asu.edu/directory/tsai-wei-tek/","http://cidse.engineering.asu.edu/directory/tsai-wei-tek/","8361","2017-10-05"
"10","Kurt VanLehn","Arizona State University","2008","Full","Machine Learning & Pattern Recognition","Stanford University - USA","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","","Male","http://cidse.engineering.asu.edu/wp-content/uploads/2011/11/VanLehn-Kurt.jpg","http://cidse.engineering.asu.edu/directory/kurt-vanlehn/","2","2015-10-08"
"11","Guoliang Xue","Arizona State University","2001","Full","Security & Privacy","Qufu Normal University - China","Qufu Normal University - China","University of Minnesota - Twin Cities - USA","","Male","http://cidse.engineering.asu.edu/wp-content/uploads/2011/12/Xue-Guoliang-213x300.jpg","http://cidse.engineering.asu.edu/directory/xue-guoliang/","2","2015-10-08"
"12","Rida Bazzi","Arizona State University","1996","Full","Security & Privacy","American University of Beirut - Lebanon","Georgia Institute of Technology - USA","Georgia Institute of Technology - USA","","Male","http://cidse.engineering.asu.edu/wp-content/uploads/2011/11/ridabazzi.jpg","http://cidse.engineering.asu.edu/directory/rida-bazzi/","6734","2017-02-27"
"13","Partha Dasgupta","Arizona State University","1991","Assistant","Security & Privacy","Indian Institute of Technology Kharagpur - India","Indian Institute of Technology - Kharagpur - India","Stony Brook University - USA","","Male","http://cidse.engineering.asu.edu/wp-content/uploads/2011/12/parthadasgupta-featured.jpg","http://cidse.engineering.asu.edu/directory/dasgupta-partha/","8361","2017-10-05"
"14","Hasan Davulcu","Arizona State University","2002","Associate","Data Mining","Middle East Technical University - Turkey","Stony Brook University - USA","Stony Brook University - USA","","Male","http://cidse.engineering.asu.edu/wp-content/uploads/2011/12/hasandavulcu-featured.jpg","http://cidse.engineering.asu.edu/directory/davulcu-hasan/","2","2015-10-08"
"15","Joohyung Lee","Arizona State University","2005","Associate","Natural Language & Speech","","","University of Texas - Austin - USA","","Male","http://cidse.engineering.asu.edu/wp-content/uploads/2011/11/joohyunglee.jpg","http://cidse.engineering.asu.edu/directory/joohyung-lee/","","2017-07-31"
"16","Brian Nelson","Arizona State University","2015","Associate","Computer Education","Washington State University - USA","Saint Michaels College - USA","Harvard University - USA","","Male","http://cidse.engineering.asu.edu/wp-content/uploads/2011/12/BrianNelson.jpg","http://cidse.engineering.asu.edu/directory/nelson-brian/","2","2015-10-08"
"17","Andrea Richa","Arizona State University","1998","Full","Algorithms & Theory","Federal University of Rio de Janeiro - Brazil","Carnegie Mellon University - USA","Carnegie Mellon University - USA","","Female","http://cidse.engineering.asu.edu/wp-content/uploads/2011/11/andrearicha.jpg","http://cidse.engineering.asu.edu/directory/andrea-richa/","8010","2017-07-31"
"18","Violet Syrotiuk","Arizona State University","2002","Associate","Networks & Communications","University of Alberta - Canada","University of British Columbia - Canada","University of Waterloo - Ontario - Canada","","Female","http://cidse.engineering.asu.edu/wp-content/uploads/2011/12/violetsyrotiuk.jpg","http://cidse.engineering.asu.edu/directory/syrotiuk-violet/","2","2015-10-08"
"19","Peter Wonka","Arizona State University","2004","Associate","Graphics","Vienna University of Technology - Austria","Vienna University of Technology - Austria","Vienna University of Technology - Austria","","Male","http://cidse.engineering.asu.edu/wp-content/uploads/2011/11/peterwonka-featured.jpg","http://cidse.engineering.asu.edu/directory/wonka-peter/","2","2015-10-08"
"20","Jieping Ye","Arizona State University","2005","Associate","Machine Learning & Pattern Recognition","Fudan University - Shanghai - China","National University of Singapore - Singapore","University of Minnesota - Twin Cities - USA","","Male","","http://cidse.engineering.asu.edu/directory/ye-jieping/","1062","2016-08-11"
"21","Georgios Fainekos","Arizona State University","2009","Assistant","Real-Time & Embedded Systems","National Technical University of Athens - Greece","University of Pennsylvania - USA","University of Pennsylvania - USA","","Male","http://cidse.engineering.asu.edu/wp-content/uploads/2011/12/georgiosfainekos-featured.jpg","http://cidse.engineering.asu.edu/directory/fainekos-georgios/","2","2015-10-08"
"22","Aviral Shrivastava","Arizona State University","2006","Assistant","Real-Time & Embedded Systems","Indian Institute of Technology - Delhi - India","University of California - Irvine - USA","University of California - Irvine - USA","","Male","http://cidse.engineering.asu.edu/wp-content/uploads/2011/12/aviralshrivastava.jpg","http://cidse.engineering.asu.edu/directory/shrivastava-aviral/","2","2015-10-08"
"23","Yalin Wang","Arizona State University","2010","Assistant","Computer Vision","Tsinghua University - Beijing - China","Tsinghua University - Beijing - China","University of Washington - USA","","Male","http://cidse.engineering.asu.edu/wp-content/uploads/2011/11/yalinwang-featured.jpg","http://cidse.engineering.asu.edu/directory/wang-yalin/","2","2015-10-08"
"24","Assaf J. Kfoury","Boston University","","Full","Programming Languages","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","","Male","","http://www.cs.bu.edu/fac/kfoury/","1062","2016-08-11"
"25","Azer Bestavros","Boston University","1991","Full","Networks & Communications","Alexandria University - Egypt","Alexandria University - Egypt","Harvard University - USA","","Male","http://azer.bestavros.net/","http://azer.bestavros.net/","2","2015-10-08"
"26","Evimaria Terzi","Boston University","2009","Associate","Data Mining","Aristotle University of Thessaloniki - Greece","Purdue University - USA","University of Helsinki - Finland","Helsinki Institute for Information Technology - Finland","Female","http://www.bu.edu/cs/files/2011/10/Terzi.jpg","http://www.cs.bu.edu/fac/evimaria/","2","2015-10-08"
"27","George Kollios","Boston University","2000","Full","Databases","National Technical University of Athens - Greece","Polytechnic University - Brooklyn - New York - USA","Polytechnic University - Brooklyn - New York - USA","","Male","http://www.cs.bu.edu/fac/gkollios/","http://www.cs.bu.edu/fac/gkollios/","2","2015-10-08"
"28","Hongwei Xi","Boston University","2001","Associate","Programming Languages","Nanjing University - Ch","","Carnegie Mellon University - USA","","Male","http://www.bu.edu/cs/files/2011/10/Xi.jpg","http://www.cs.bu.edu/fac/hwxi/","2","2015-10-08"
"29","Ibrahim Matta","Boston University","1999","Full","Networks & Communications","Alexandria University - Egypt","Alexandria University - Egypt","University of Maryland - College Park - USA","","Male","","http://www.cs.bu.edu/fac/matta/","","2016-08-11"
"30","John Byers","Boston University","1999","Full","Networks & Communications","Cornell University - USA","","University of California - Berkeley - USA","","Male","http://www.bu.edu/cs/files/2011/10/Byers.jpg","http://www.cs.bu.edu/fac/byers/","2","2015-10-08"
"31","Jonathan Appavoo","Boston University","2009","Assistant","Distributed & Parallel Computing","McMaster University - Canada","University of Toronto - Canada","University of Toronto - Canada","IBM Research - Zurich - Switzerland","Male","http://www.bu.edu/cs/files/2011/10/Appavoo1.jpg","http://www.cs.bu.edu/fac/jappavoo/jappavoo.github.com/index.html","2","2015-10-08"
"32","Leonid Levin","Boston University","1980","Full","Algorithms & Theory","Moscow State University - Russia","Moscow State University - Russia","Moscow State University - Russia","","Male","http://www.bu.edu/cs/files/2011/10/Levin-e1352396122178.jpg","http://www.bu.edu/cs/leonid-levin/","2","2015-10-08"
"33","Leonid Reyzin","Boston University","2001","Associate","Security & Privacy","Harvard University - USA","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","","Male","http://www.bu.edu/cs/files/2011/10/Reyzin.jpg","http://www.cs.bu.edu/fac/reyzin/","2","2015-10-08"
"34","Lorenzo Orecchia","Boston University","2014","Full","Algorithms & Theory","Princeton University - USA","","University of California - Berkeley - USA","Massachusetts Institute of Technology - USA","Male","http://www.bu.edu/cs/lorenzo-orecchia/","http://orecchia.net/","8429","2017-10-18"
"35","Margrit Betke","Boston University","2000","Full","Computer Vision","University of Bonn - Germany","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","","Female","http://www.bu.edu/cs/files/2013/01/MBetke-2012.jpg","http://www.cs.bu.edu/fac/betke/","2","2015-10-08"
"36","Mark Crovella","Boston University","1994","Full","Networks & Communications","Cornell University - USA","State University of New York - Buffalo - USA","University of Rochester - USA","","Male","http://www.bu.edu/cs/files/2011/10/Crovella.jpg","http://www.cs.bu.edu/fac/crovella/","2","2015-10-08"
"37","Peter Gacs","Boston University","1984","Full","Algorithms & Theory","","Eotvos University - Budapest - Hungary","J.W. Goethe University Frankfurt am Main - Germany","","Male","http://www.bu.edu/cs/files/2011/10/Gacs.jpg","http://www.cs.bu.edu/fac/gacs/","2","2015-10-08"
"38","Ran Canetti","Boston University","2011","Full","Security & Privacy","Technion-Israel Institute of Technology - Israel","","Weizmann Institute of Science - Israel","","Male","http://www.bu.edu/cs/files/2012/04/canetti-thumb.jpg","http://www.cs.bu.edu/~canetti/","6267","2017-01-11"
"39","Richard West","Boston University","2006","Associate","Operating Systems","University of Newcastle - United Kindom","Georgia Institute of Technology - USA","Georgia Institute of Technology - USA","","Male","http://www.bu.edu/cs/files/2011/10/West.jpg","http://www.cs.bu.edu/fac/richwest/","2","2015-10-08"
