,FullName,University,SubField,Bachelors,Doctorate,Inst. Score,Subf. Score,Score,Empty Count
0,Adam Doupé,Arizona State University,Artificial Intelligence,Arizona State University,"University of California, Santa Barbara",0,2,2,0
1,Andréa W. Richa,Arizona State University,Algorithms & Complexity,American University of Beirut,Carnegie Mellon University,0,32,32,0
2,Arunabha Sen,Arizona State University,Computer Graphics,Jadavpur University,University of South Carolina,0,14,14,0
3,Ashraf Gaffar,Arizona State University,Human-Computer Interaction,TU Dortmund,Concordia University,0,21,21,0
4,Aviral Shrivastava,Arizona State University,Embedded & Real-Time Systems,Indian Institute of Technology Delhi,"University of California, Irvine",0,14,14,0
5,Baoxin Li,Arizona State University,Machine Learning & Data Mining,University of Science and Technology of China,University of Maryland,0,25,25,0
6,Baoxin Lina,Arizona State University,Computer Graphics,Beijing University of Posts and Telecommunications,University of Maryland,0,14,14,0
7,Brian C. Nelson,Arizona State University,Interdisciplinary Areas,Washington State University,Harvard University,0,11,11,0
8,Carole-Jean Wu,Arizona State University,Artificial Intelligence,Cornell University,Princeton University,0,2,2,0
9,Charles J. Colbourn,Arizona State University,Computer Networks,University of Toronto,University of Toronto,0,34,34,0
10,Chitta Baral,Arizona State University,Robotics,Indian Institute of Technology Kharagpur,University of Maryland,0,62,62,0
11,Dijiang Huang,Arizona State University,Computer Networks,Beijing University of Posts and Telecommunications,University of Missouri-Kansas City,0,34,34,0
12,Fengbo Ren,Arizona State University,Comp. Bio & Bioinformatics,Zhejiang University,"University of California, Los Angeles",0,2,2,0
13,Fish Wang,Arizona State University,Computer Security,Arizona State University,"University of California, Santa Barbara",0,31,31,0
14,Gail-Joon Ahn,Arizona State University,Computer Security,Arizona State University,George Mason University,0,31,31,0
15,Georgios E. Fainekos,Arizona State University,Robotics,National Technical University of Athens,University of Pennsylvania,0,62,62,0
16,Guoliang Xue,Arizona State University,Machine Learning & Data Mining,Qufu Normal University,University of Minnesota,0,25,25,0
17,Hasan Davulcu,Arizona State University,Machine Learning & Data Mining,Middle East Technical University,Stony Brook University,0,25,25,0
18,Heni Ben Amor,Arizona State University,Artificial Intelligence,University of Koblenz and Landau,Freiberg University of Mining and Technology,0,2,2,0
19,Huan Liu,Arizona State University,Machine Learning & Data Mining,Shanghai Jiao Tong University,University of Southern California,0,25,25,0
20,James S. Collofello,Arizona State University,Software Engineering,Northern Illinois University,Northwestern University,0,12,12,0
21,Jia Zou,Arizona State University,Databases,Northwestern Polytechnical University,Tsinghua University,0,0,0,0
22,Jingrui He,Arizona State University,Machine Learning & Data Mining,Tsinghua University,Carnegie Mellon University,0,25,25,0
23,John Femiani,Arizona State University,Software Engineering,Arizona State University,Arizona State University,0,12,12,0
24,Joohyung Lee,Arizona State University,Artificial Intelligence,Seoul National University,University of Texas at Austin,0,2,2,0
25,K. Selçuk Candan,Arizona State University,Databases,Bilkent University,University of Maryland,0,0,0,0
26,Kevin Gary,Arizona State University,Software Engineering,State University of New York at Albany,Arizona State University,0,12,12,0
27,Kurt VanLehn,Arizona State University,Artificial Intelligence,Stanford University,Massachusetts Institute of Technology,0,2,2,0
28,Mary Anderson-Rowland,Arizona State University,Theory,Hope College,University of Iowa,0,2,2,0
29,Ming Zhao,Arizona State University,High-Performance Computing,Tsinghua University,University of Florida,0,7,7,0
30,Mohamed Sarwat,Arizona State University,Databases,Cairo University,University of Minnesota,0,0,0,0
31,Partha Dasgupta,Arizona State University,Computer Security,Indian Institute of Technology Kharagpur,Stony Brook University,0,31,31,0
32,Pitu Mirchandani,Arizona State University,Embedded & Real-Time Systems,"University of California, Los Angeles",Massachusetts Institute of Technology,0,14,14,0
33,Rida A. Bazzi,Arizona State University,Computer Security,American University of Beirut,Georgia Institute of Technology,0,31,31,0
34,Robert Atkinson,Arizona State University,Human-Computer Interaction,"California State University, Chico",University of Wisconsin-Madison,0,21,21,0
35,Ross Maciejewski,Arizona State University,Visualization,University of Missouri,Purdue University,0,0,0,0
36,Sandeep K. S. Gupta,Arizona State University,Mobile Computing,"University of California, Berkeley",Ohio State University,0,0,0,0
37,Sarma Vrudhula,Arizona State University,Comp. Bio & Bioinformatics,University of Waterloo,University of Southern California,0,2,2,0
