"Aarti Singh","Carnegie Mellon University"
"Jim McCann","Carnegie Mellon University"
"Alan M. Frieze","Carnegie Mellon University"
"Alan W. Black","Carnegie Mellon University"
"Alessandro Acquisti","Carnegie Mellon University"
"Alonzo Kelly","Carnegie Mellon University"
"Ameet Talwalkar","Carnegie Mellon University"
"Amy Ogan","Carnegie Mellon University"
"Andreas R. Pfenning","Carnegie Mellon University"
"Andrej Risteski","Carnegie Mellon University"
"Andy Pavlo","Carnegie Mellon University"
"André Platzer","Carnegie Mellon University"
"Niki Kittur","Carnegie Mellon University"
"Anupam Datta","Carnegie Mellon University"
"Anupam Gupta","Carnegie Mellon University"
"Benjamin Moseley","Carnegie Mellon University"
"Bernhard Haeupler","Carnegie Mellon University"
"Bhiksha Raj","Carnegie Mellon University"
"Bill Scherlis","Carnegie Mellon University"
"Bogdan Vasilescu","Carnegie Mellon University"
"Brad A. Myers","Carnegie Mellon University"
"Brandon Lucia","Carnegie Mellon University"
"Bruce H. Krogh","Carnegie Mellon University"
"Bruno Sinopoli","Carnegie Mellon University"
"Bryan Parno","Carnegie Mellon University"
"Carl Kingsford","Carnegie Mellon University"
"Carolyn Penstein Rosé","Carnegie Mellon University"
"Changliu Liu","Carnegie Mellon University"
"Chinmay Kulkarni","Carnegie Mellon University"
"Chris Harrison","Carnegie Mellon University"
"Christian Kästner","Carnegie Mellon University"
"Christos Faloutsos","Carnegie Mellon University"
"Claire Le Goues","Carnegie Mellon University"
"Raj Reddy","Carnegie Mellon University"
"Dana S. Scott","Carnegie Mellon University"
"Daniel P. Siewiorek","Carnegie Mellon University"
"Dave Andersen","Carnegie Mellon University"
"David Brumley","Carnegie Mellon University"
"David Garlan","Carnegie Mellon University"
"David Held","Carnegie Mellon University"
"Jack Mostow","Carnegie Mellon University"
"David P. Woodruff","Carnegie Mellon University"
"David R. O'Hallaron","Carnegie Mellon University"
"Deepak Pathak","Carnegie Mellon University"
"Deva Ramanan","Carnegie Mellon University"
"Diana Marculescu","Carnegie Mellon University"
"Doug Sicker","Carnegie Mellon University"
