FullName,University,JoinYear,SubField,Bachelors,Doctorate
Adam Doupé,Arizona State University,2014,Artificial Intelligence,Arizona State University,"University of California, Santa Barbara"
Andréa W. Richa,Arizona State University,1998,Algorithms & Complexity,American University of Beirut,Carnegie Mellon University
Arunabha Sen,Arizona State University,1987,Computer Graphics,Jadavpur University,University of South Carolina
Ashraf Gaffar,Arizona State University,2012,Human-Computer Interaction,TU Dortmund,Concordia University
Aviral Shrivastava,Arizona State University,2012,Embedded & Real-Time Systems,Indian Institute of Technology Delhi,"University of California, Irvine"
Baoxin Li,Arizona State University,2004,Machine Learning & Data Mining,University of Science and Technology of China,University of Maryland
Baoxin Lina,Arizona State University,2004,Computer Graphics,Beijing University of Posts and Telecommunications,University of Maryland
Brian C. Nelson,Arizona State University,2017,Interdisciplinary Areas,Washington State University,Harvard University
Carole-Jean Wu,Arizona State University,2012,Computer Architecture,Cornell University,Princeton University
Charles J. Colbourn,Arizona State University,2001,Computer Networks,University of Toronto,University of Toronto
Chitta Baral,Arizona State University,1999,Robotics,Indian Institute of Technology Kharagpur,University of Maryland
Dijiang Huang,Arizona State University,2005,Computer Networks,Beijing University of Posts and Telecommunications,University of Missouri-Kansas City
Fengbo Ren,Arizona State University,2015,Comp. Bio & Bioinformatics,Zhejiang University,"University of California, Los Angeles"
Fish Wang,Arizona State University,2018,Computer Security,Arizona State University,"University of California, Santa Barbara"
Gail-Joon Ahn,Arizona State University,2008,Computer Security,Arizona State University,George Mason University
Georgios E. Fainekos,Arizona State University,2009,Robotics,National Technical University of Athens,University of Pennsylvania
Guoliang Xue,Arizona State University,2001,Machine Learning & Data Mining,Qufu Normal University,University of Minnesota
Hasan Davulcu,Arizona State University,2002,Machine Learning & Data Mining,Middle East Technical University,Stony Brook University
Heni Ben Amor,Arizona State University,2011,Artificial Intelligence,,Freiberg University of Mining and Technology
Huan Liu,Arizona State University,2001,Machine Learning & Data Mining,Shanghai Jiao Tong University,University of Southern California
James S. Collofello,Arizona State University,1979,Software Engineering,Northern Illinois University,Northwestern University
Jia Zou,Arizona State University,2019,Databases,Northwestern Polytechnical University,Tsinghua University
